Susceptible,Infected,Recovered
1999,1,0
1999,1,0
1999,1,0
1998,2,0
1998,2,0
1998,2,0
1998,2,0
1997,3,0
1997,3,0
1995,5,0
1993,7,0
1993,7,0
1993,7,0
1992,8,0
1990,10,0
1989,11,0
1986,14,0
1984,16,0
1983,17,0
1980,20,0
1977,23,0
1972,28,0
1968,32,0
1963,37,0
1956,44,0
1947,53,0
1942,58,0
1937,63,0
1931,69,0
1928,72,0
1918,82,0
1912,88,0
1904,96,0
1897,103,0
1891,109,0
1883,117,0
1869,131,0
1861,139,0
1853,147,0
1837,163,0
1823,177,0
1810,190,0
1789,211,0
1780,220,0
1770,230,0
1753,247,0
1744,256,0
1730,270,0
1712,288,0
1699,301,0
1673,327,0
1652,348,0
1635,365,0
1610,390,0
1586,414,0
1570,430,0
1552,448,0
1527,473,0
1502,498,0
1474,526,0
1463,537,0
1440,560,0
1423,577,0
1404,596,0
1387,613,0
1370,630,0
1355,645,0
1338,662,0
1329,671,0
1313,687,0
1300,700,0
1285,715,0
1269,731,0
1256,744,0
1240,760,0
1221,779,0
1202,798,0
1181,819,0
1164,836,0
1151,849,0
1144,856,0
1124,876,0
1109,891,0
1088,912,0
1067,933,0
1046,954,0
1031,969,0
1012,988,0
998,1002,0
982,1018,0
962,1038,0
942,1058,0
928,1072,0
911,1089,0
891,1109,0
877,1123,0
860,1140,0
841,1159,0
826,1174,0
813,1187,0
800,1200,0
782,1217,1
770,1229,1
761,1237,2
753,1245,2
737,1261,2
724,1274,2
706,1292,2
698,1299,3
691,1304,5
685,1310,5
679,1315,7
667,1327,7
662,1332,8
653,1340,10
643,1349,11
631,1358,14
617,1370,16
609,1378,17
599,1386,19
595,1386,23
589,1392,26
578,1397,32
561,1410,36
553,1411,43
547,1410,50
539,1411,57
530,1414,63
521,1420,68
511,1426,72
504,1428,77
496,1427,88
488,1428,96
483,1427,103
478,1429,109
468,1433,115
466,1425,131
453,1431,139
445,1435,144
438,1425,162
435,1415,177
424,1415,188
424,1400,207
418,1396,219
408,1397,229
396,1396,243
384,1399,254
373,1396,270
360,1394,285
357,1386,300
351,1373,324
349,1357,347
337,1352,365
330,1337,388
320,1326,414
310,1322,429
301,1316,448
297,1301,473
286,1292,496
281,1276,518
271,1270,536
260,1264,560
248,1263,573
237,1253,596
224,1250,613
215,1246,628
200,1246,644
195,1239,660
182,1244,670
174,1237,687
163,1239,698
144,1244,713
135,1238,729
128,1231,744
121,1227,757
114,1216,777
101,1214,793
95,1201,816
87,1194,835
82,1186,849
76,1185,856
79,1168,876
71,1165,889
66,1152,911
58,1140,931
53,1127,954
49,1117,969
46,1106,987
44,1096,1002
43,1085,1018
41,1069,1036
37,1051,1058
34,1042,1071
34,1024,1089
33,1011,1106
33,1001,1120
36,984,1140
35,967,1159
33,958,1172
34,944,1187
35,932,1200
31,919,1218
34,908,1230
31,902,1239
30,896,1246
32,880,1263
32,868,1276
32,852,1292
31,844,1302
33,837,1309
32,833,1315
33,827,1322
33,818,1334
35,812,1340
35,805,1348
35,794,1360
34,785,1372
34,772,1386
35,764,1395
32,760,1402
31,754,1409
31,747,1418
33,736,1429
33,724,1443
31,716,1454
30,712,1460
30,704,1468
30,698,1475
29,686,1488
30,678,1497
30,671,1505
28,663,1515
26,657,1524
22,656,1529
22,650,1536
24,642,1547
23,636,1555
25,623,1568
26,614,1579
27,607,1587
24,605,1592
25,594,1603
24,591,1607
23,584,1615
25,573,1626
26,561,1639
26,548,1653
27,535,1666
28,525,1679
27,522,1684
29,509,1697
29,502,1704
29,492,1715
29,482,1725
31,468,1740
30,459,1750
29,448,1763
29,442,1771
29,429,1786
32,422,1794
34,410,1806
36,394,1823
37,383,1836
34,373,1849
38,360,1862
37,351,1873
41,336,1889
43,329,1899
45,316,1913
41,310,1923
43,298,1935
43,280,1956
44,271,1967
46,265,1975
47,256,1984
46,249,1993
49,239,2004
48,230,2016
50,220,2028
49,214,2035
46,213,2039
45,210,2044
47,203,2052
47,193,2063
50,185,2071
50,178,2080
49,174,2086
49,171,2090
48,166,2097
46,163,2103
44,163,2105
45,160,2108
44,158,2113
44,158,2113
44,155,2117
45,151,2121
44,149,2124
44,147,2126
43,144,2130
42,144,2131
42,143,2132
43,138,2137
43,137,2138
44,134,2141
43,134,2142
43,133,2143
43,133,2144
43,133,2144
43,131,2146
43,131,2146
44,129,2148
44,128,2149
43,126,2152
43,126,2152
41,127,2153
41,126,2154
40,124,2157
39,125,2157
38,124,2159
36,124,2161
35,123,2163
35,121,2165
34,122,2165
34,120,2167
35,117,2170
35,115,2172
35,115,2172
32,117,2173
32,116,2174
32,115,2175
31,116,2175
33,113,2178
33,110,2181
33,107,2184
33,105,2186
32,103,2189
33,101,2191
31,103,2191
31,101,2193
31,100,2194
31,98,2196
31,97,2197
31,96,2198
31,95,2199
30,96,2199
30,95,2200
29,95,2201
29,95,2201
28,95,2202
28,91,2206
28,91,2206
28,91,2206
28,90,2207
28,90,2207
28,89,2208
